harmony,rhythm,headedness,mode,runid,treeid,foldid,acc
simple,none,right,supervised,1,93,1,0.46875
simple,none,right,supervised,1,59,1,0.5833333333333334
simple,none,right,supervised,1,32,1,0.5555555555555556
simple,none,right,supervised,1,15,1,0.4
simple,none,right,supervised,1,139,1,0.42424242424242425
simple,none,right,supervised,1,77,1,0.5483870967741935
simple,none,right,supervised,1,17,1,0.2
simple,none,right,supervised,1,95,1,0.3125
simple,none,right,supervised,1,132,1,0.6060606060606061
simple,none,right,supervised,1,104,1,0.36363636363636365
simple,none,right,supervised,1,109,1,0.38235294117647056
simple,none,right,supervised,1,54,1,0.47619047619047616
simple,none,right,supervised,1,3,1,0.45454545454545453
simple,none,right,supervised,1,101,1,0.5333333333333333
simple,none,right,supervised,1,149,1,0.6388888888888888
simple,none,right,supervised,1,46,2,0.3
simple,none,right,supervised,1,89,2,0.3125
simple,none,right,supervised,1,145,2,0.3333333333333333
simple,none,right,supervised,1,141,2,0.37142857142857144
simple,none,right,supervised,1,83,2,0.4666666666666667
simple,none,right,supervised,1,92,2,0.4666666666666667
simple,none,right,supervised,1,50,2,0.34782608695652173
simple,none,right,supervised,1,147,2,0.35294117647058826
simple,none,right,supervised,1,21,2,0.3125
simple,none,right,supervised,1,33,2,0.42105263157894735
simple,none,right,supervised,1,25,2,0.5625
simple,none,right,supervised,1,20,2,0.8
simple,none,right,supervised,1,44,2,0.5454545454545454
simple,none,right,supervised,1,58,2,0.5384615384615384
simple,none,right,supervised,1,67,2,0.5714285714285714
simple,none,right,supervised,1,61,3,0.52
simple,none,right,supervised,1,66,3,0.5769230769230769
simple,none,right,supervised,1,134,3,0.5588235294117647
simple,none,right,supervised,1,138,3,0.5454545454545454
simple,none,right,supervised,1,62,3,0.3181818181818182
simple,none,right,supervised,1,39,3,0.6875
simple,none,right,supervised,1,64,3,0.48148148148148145
simple,none,right,supervised,1,120,3,0.47058823529411764
simple,none,right,supervised,1,76,3,0.22580645161290322
simple,none,right,supervised,1,91,3,0.5757575757575758
simple,none,right,supervised,1,41,3,0.47368421052631576
simple,none,right,supervised,1,136,3,0.5714285714285714
simple,none,right,supervised,1,14,3,0.5333333333333333
simple,none,right,supervised,1,43,3,0.7
simple,none,right,supervised,1,29,3,0.47058823529411764
simple,none,right,supervised,1,102,4,0.625
simple,none,right,supervised,1,38,4,0.6111111111111112
simple,none,right,supervised,1,51,4,0.5238095238095238
simple,none,right,supervised,1,34,4,0.21052631578947367
simple,none,right,supervised,1,26,4,0.4117647058823529
simple,none,right,supervised,1,9,4,0.4
simple,none,right,supervised,1,16,4,0.35714285714285715
simple,none,right,supervised,1,111,4,0.4411764705882353
simple,none,right,supervised,1,18,4,0.5625
simple,none,right,supervised,1,119,4,0.45161290322580644
simple,none,right,supervised,1,129,4,0.4
simple,none,right,supervised,1,24,4,0.375
simple,none,right,supervised,1,140,4,0.45454545454545453
simple,none,right,supervised,1,87,4,0.7419354838709677
simple,none,right,supervised,1,73,4,0.22580645161290322
simple,none,right,supervised,1,52,5,0.5
simple,none,right,supervised,1,80,5,0.7
simple,none,right,supervised,1,45,5,0.6190476190476191
simple,none,right,supervised,1,118,5,0.3939393939393939
simple,none,right,supervised,1,127,5,0.3939393939393939
simple,none,right,supervised,1,143,5,0.3611111111111111
simple,none,right,supervised,1,146,5,0.3235294117647059
simple,none,right,supervised,1,4,5,0.45454545454545453
simple,none,right,supervised,1,42,5,0.45
simple,none,right,supervised,1,98,5,0.3939393939393939
simple,none,right,supervised,1,31,5,0.8235294117647058
simple,none,right,supervised,1,103,5,0.6451612903225806
simple,none,right,supervised,1,94,5,0.4375
simple,none,right,supervised,1,56,5,0.5652173913043478
simple,none,right,supervised,1,74,5,0.32142857142857145
simple,none,right,supervised,1,85,6,0.6129032258064516
simple,none,right,supervised,1,107,6,0.3870967741935484
simple,none,right,supervised,1,8,6,0.7333333333333333
simple,none,right,supervised,1,117,6,0.4375
simple,none,right,supervised,1,108,6,0.45161290322580644
simple,none,right,supervised,1,81,6,0.3548387096774194
simple,none,right,supervised,1,110,6,0.125
simple,none,right,supervised,1,5,6,0.4166666666666667
simple,none,right,supervised,1,22,6,0.6
simple,none,right,supervised,1,71,6,0.2
simple,none,right,supervised,1,48,6,0.75
simple,none,right,supervised,1,78,6,0.41935483870967744
simple,none,right,supervised,1,82,6,0.5161290322580645
simple,none,right,supervised,1,2,6,0.2727272727272727
simple,none,right,supervised,1,97,6,0.4
simple,none,right,supervised,1,133,7,0.5454545454545454
simple,none,right,supervised,1,12,7,0.3125
simple,none,right,supervised,1,114,7,0.53125
simple,none,right,supervised,1,128,7,0.45714285714285713
simple,none,right,supervised,1,115,7,0.53125
simple,none,right,supervised,1,13,7,0.5
simple,none,right,supervised,1,126,7,0.65625
simple,none,right,supervised,1,11,7,0.1875
simple,none,right,supervised,1,125,7,0.3548387096774194
simple,none,right,supervised,1,113,7,0.53125
simple,none,right,supervised,1,131,7,0.3333333333333333
simple,none,right,supervised,1,28,7,0.6666666666666666
simple,none,right,supervised,1,7,7,0.7857142857142857
simple,none,right,supervised,1,63,7,0.23076923076923078
simple,none,right,supervised,1,65,7,0.36
simple,none,right,supervised,1,142,8,0.71875
simple,none,right,supervised,1,79,8,0.4666666666666667
simple,none,right,supervised,1,135,8,0.24242424242424243
simple,none,right,supervised,1,84,8,0.25
simple,none,right,supervised,1,27,8,0.7142857142857143
simple,none,right,supervised,1,75,8,0.5333333333333333
simple,none,right,supervised,1,100,8,0.5151515151515151
simple,none,right,supervised,1,37,8,0.5
simple,none,right,supervised,1,35,8,0.95
simple,none,right,supervised,1,57,8,0.7916666666666666
simple,none,right,supervised,1,123,8,0.38235294117647056
simple,none,right,supervised,1,137,8,0.42857142857142855
simple,none,right,supervised,1,6,8,0.5454545454545454
simple,none,right,supervised,1,10,8,0.46153846153846156
simple,none,right,supervised,1,150,8,0.5675675675675675
simple,none,right,supervised,1,53,9,0.4166666666666667
simple,none,right,supervised,1,124,9,0.5454545454545454
simple,none,right,supervised,1,116,9,0.47058823529411764
simple,none,right,supervised,1,1,9,0.25
simple,none,right,supervised,1,69,9,0.4642857142857143
simple,none,right,supervised,1,40,9,0.3333333333333333
simple,none,right,supervised,1,19,9,0.6428571428571429
simple,none,right,supervised,1,72,9,0.5806451612903226
simple,none,right,supervised,1,47,9,0.631578947368421
simple,none,right,supervised,1,144,9,0.6060606060606061
simple,none,right,supervised,1,60,9,0.12
simple,none,right,supervised,1,90,9,0.5757575757575758
simple,none,right,supervised,1,70,9,0.1724137931034483
simple,none,right,supervised,1,23,9,0.2
simple,none,right,supervised,1,106,9,0.30303030303030304
simple,none,right,supervised,1,30,10,0.3125
simple,none,right,supervised,1,122,10,0.40625
simple,none,right,supervised,1,86,10,0.3548387096774194
simple,none,right,supervised,1,55,10,0.36363636363636365
simple,none,right,supervised,1,99,10,0.23333333333333334
simple,none,right,supervised,1,130,10,0.5714285714285714
simple,none,right,supervised,1,96,10,0.3225806451612903
simple,none,right,supervised,1,112,10,0.6176470588235294
simple,none,right,supervised,1,68,10,0.5
simple,none,right,supervised,1,36,10,0.16666666666666666
simple,none,right,supervised,1,105,10,0.3870967741935484
simple,none,right,supervised,1,49,10,0.42857142857142855
simple,none,right,supervised,1,88,10,0.3125
simple,none,right,supervised,1,148,10,0.6666666666666666
simple,none,right,supervised,1,121,10,0.28125
simple,none,right,unsupervised,1,93,1,0.40625
simple,none,right,unsupervised,1,59,1,0.2916666666666667
simple,none,right,unsupervised,1,32,1,0.7222222222222222
simple,none,right,unsupervised,1,15,1,0.3333333333333333
simple,none,right,unsupervised,1,139,1,0.21212121212121213
simple,none,right,unsupervised,1,77,1,0.6774193548387096
simple,none,right,unsupervised,1,17,1,0.06666666666666667
simple,none,right,unsupervised,1,95,1,0.34375
simple,none,right,unsupervised,1,132,1,0.5757575757575758
simple,none,right,unsupervised,1,104,1,0.48484848484848486
simple,none,right,unsupervised,1,109,1,0.3235294117647059
simple,none,right,unsupervised,1,54,1,0.38095238095238093
simple,none,right,unsupervised,1,3,1,0.45454545454545453
simple,none,right,unsupervised,1,101,1,0.6
simple,none,right,unsupervised,1,149,1,0.6111111111111112
simple,none,right,unsupervised,1,46,2,0.25
simple,none,right,unsupervised,1,89,2,0.0625
simple,none,right,unsupervised,1,145,2,0.4444444444444444
simple,none,right,unsupervised,1,141,2,0.42857142857142855
simple,none,right,unsupervised,1,83,2,0.4666666666666667
simple,none,right,unsupervised,1,92,2,0.4
simple,none,right,unsupervised,1,50,2,0.21739130434782608
simple,none,right,unsupervised,1,147,2,0.3235294117647059
simple,none,right,unsupervised,1,21,2,0.25
simple,none,right,unsupervised,1,33,2,0.3684210526315789
simple,none,right,unsupervised,1,25,2,0.5625
simple,none,right,unsupervised,1,20,2,0.4
simple,none,right,unsupervised,1,44,2,0.5
simple,none,right,unsupervised,1,58,2,0.38461538461538464
simple,none,right,unsupervised,1,67,2,0.6071428571428571
simple,none,right,unsupervised,1,61,3,0.24
simple,none,right,unsupervised,1,66,3,0.46153846153846156
simple,none,right,unsupervised,1,134,3,0.4117647058823529
simple,none,right,unsupervised,1,138,3,0.45454545454545453
simple,none,right,unsupervised,1,62,3,0.22727272727272727
simple,none,right,unsupervised,1,39,3,0.5
simple,none,right,unsupervised,1,64,3,0.14814814814814814
simple,none,right,unsupervised,1,120,3,0.5
simple,none,right,unsupervised,1,76,3,0.25806451612903225
simple,none,right,unsupervised,1,91,3,0.48484848484848486
simple,none,right,unsupervised,1,41,3,0.42105263157894735
simple,none,right,unsupervised,1,136,3,0.45714285714285713
simple,none,right,unsupervised,1,14,3,0.6666666666666666
simple,none,right,unsupervised,1,43,3,0.6
simple,none,right,unsupervised,1,29,3,0.47058823529411764
simple,none,right,unsupervised,1,102,4,0.28125
simple,none,right,unsupervised,1,38,4,0.5555555555555556
simple,none,right,unsupervised,1,51,4,0.6190476190476191
simple,none,right,unsupervised,1,34,4,0.42105263157894735
simple,none,right,unsupervised,1,26,4,0.35294117647058826
simple,none,right,unsupervised,1,9,4,0.4
simple,none,right,unsupervised,1,16,4,0.2857142857142857
simple,none,right,unsupervised,1,111,4,0.38235294117647056
simple,none,right,unsupervised,1,18,4,0.5
simple,none,right,unsupervised,1,119,4,0.3870967741935484
simple,none,right,unsupervised,1,129,4,0.3142857142857143
simple,none,right,unsupervised,1,24,4,0.375
simple,none,right,unsupervised,1,140,4,0.45454545454545453
simple,none,right,unsupervised,1,87,4,0.6129032258064516
simple,none,right,unsupervised,1,73,4,0.22580645161290322
simple,none,right,unsupervised,1,52,5,0.5416666666666666
simple,none,right,unsupervised,1,80,5,0.6
simple,none,right,unsupervised,1,45,5,0.5714285714285714
simple,none,right,unsupervised,1,118,5,0.24242424242424243
simple,none,right,unsupervised,1,127,5,0.36363636363636365
simple,none,right,unsupervised,1,143,5,0.2777777777777778
simple,none,right,unsupervised,1,146,5,0.4117647058823529
simple,none,right,unsupervised,1,4,5,0.45454545454545453
simple,none,right,unsupervised,1,42,5,0.45
simple,none,right,unsupervised,1,98,5,0.36363636363636365
simple,none,right,unsupervised,1,31,5,0.4117647058823529
simple,none,right,unsupervised,1,103,5,0.45161290322580644
simple,none,right,unsupervised,1,94,5,0.34375
simple,none,right,unsupervised,1,56,5,0.43478260869565216
simple,none,right,unsupervised,1,74,5,0.32142857142857145
simple,none,right,unsupervised,1,85,6,0.5483870967741935
simple,none,right,unsupervised,1,107,6,0.25806451612903225
simple,none,right,unsupervised,1,8,6,0.6
simple,none,right,unsupervised,1,117,6,0.34375
simple,none,right,unsupervised,1,108,6,0.5161290322580645
simple,none,right,unsupervised,1,81,6,0.22580645161290322
